Date,Open,High,Low,Close,Volume,Company
02/18/2022,20.95,22.3,20.95,21.4,300,SASN
02/17/2022,21.5,21.85,21,21.5,1200,SASN
02/16/2022,20,22.3,20,20.95,900,SASN
02/15/2022,21,21,20.1,20.85,6300,SASN
02/14/2022,20.1,22.3,20.1,20.8,700,SASN
11/02/2022,22.3,22.3,22.3,22.3,300,SASN
10/02/2022,21,21,20.1,20.95,10600,SASN
09/02/2022,21.1,21.1,21,21,900,SASN
08/02/2022,21,22.5,20.5,21.1,17700,SASN
07/02/2022,21,21,21,21,2800,SASN
04/02/2022,21,21,21,21,200,SASN
03/02/2022,21,21,21,21,5200,SASN
02/02/2022,21,21,21,21,100,SASN
01/02/2022,21,21,21,21,200,SASN
01/28/2022,21,21.95,21,21,10100,SASN
01/27/2022,21,21.5,21,21.1,1300,SASN
01/25/2022,21.85,21.85,20,21,6700,SASN
01/24/2022,21,21.85,21,21.1,4300,SASN
01/21/2022,21.5,21.5,20.05,20.95,1100,SASN
01/20/2022,20,21.5,20,20.35,1000,SASN
01/19/2022,20.25,21,20,20.05,7600,SASN
01/18/2022,21.85,21.85,20,20.55,4800,SASN
01/17/2022,21.05,22.45,21.05,21.85,5100,SASN
01/14/2022,22,22.3,20.55,21.05,86100,SASN
01/13/2022,22.2,22.2,22.2,22.2,1200,SASN
12/01/2022,21,22.5,21,22.2,14600,SASN
11/01/2022,20.55,20.55,20.55,20.55,1100,SASN
10/01/2022,20.55,20.55,20.55,20.55,1600,SASN
07/01/2022,21,21.85,21,21.25,1100,SASN
06/01/2022,20.55,21,20,20.25,2600,SASN
05/01/2022,18.7,20,18.7,19.95,2100,SASN
12/30/2021,18.7,18.7,18.7,18.7,100,SASN
12/30/2021,20.75,20.75,20.75,20.75,2000,SASN
12/30/2021,21.9,21.9,21.9,21.9,100,SASN
12/30/2021,21.95,21.95,21.5,21.9,23400,SASN
12/30/2021,21.95,21.95,21.95,21.95,100,SASN
12/30/2021,21.95,21.95,20.75,21.85,6000,SASN
12/30/2021,21.95,21.95,21.95,21.95,3500,SASN
12/30/2021,21,21,19.5,20.3,1400,SASN
12/30/2021,20.6,20.6,20.5,20.55,200,SASN
12/30/2021,21,22.6,20,22.4,5600,SASN
12/30/2021,20.6,21.8,20,20.6,2500,SASN
10/12/2021,20.6,20.6,20.6,20.6,3000,SASN
09/12/2021,19,19,18.4,18.85,1300,SASN
07/12/2021,18.3,18.4,18.3,18.4,2900,SASN
06/12/2021,19,19,18.4,18.4,3900,SASN
03/12/2021,19,19,19,19,2000,SASN
02/12/2021,19,19,19,19,14800,SASN
01/12/2021,19,19,18.3,19,54700,SASN
11/29/2021,18.2,18.2,18.2,18.2,100,SASN
11/26/2021,18.1,18.1,18.1,18.1,500,SASN
11/22/2021,18,18,18,18,2200,SASN
11/19/2021,19,19,18,18.65,300,SASN
11/17/2021,18,18,18,18,2200,SASN
11/16/2021,18.25,18.25,18.25,18.25,200,SASN
11/15/2021,19.3,19.3,18,18.25,1100,SASN
12/11/2021,18,19.9,18,18.1,2400,SASN
11/11/2021,18,19.3,18,18.45,300,SASN
10/11/2021,19,19,19,19,15300,SASN
09/11/2021,19.9,19.9,19,19,11600,SASN
08/11/2021,19.1,20,19.1,19.9,10000,SASN
05/11/2021,20,20,19.5,19.65,700,SASN
03/11/2021,20,20,20,20,100,SASN
02/11/2021,19.75,19.75,19,19.05,2200,SASN
01/11/2021,20,20,20,20,8200,SASN
10/29/2021,20,20,19,19.95,8300,SASN
10/28/2021,19.8,20,19.8,20,3100,SASN
10/27/2021,19.8,19.8,19,19.5,500,SASN
10/26/2021,19,19,19,19,1100,SASN
10/25/2021,20,20.45,19,19.8,1600,SASN
10/22/2021,21,21,21,21,2000,SASN
10/21/2021,21,21,20,20.25,400,SASN
