Date, Open, High, Low, Close, Volume
03/28/19, 16.00, 16.00, 16.00, 16.00, 100
03/27/19, 15.80, 16.00, 15.05, 15.80, 1900
03/26/19, 15.05, 15.80, 15.00, 15.05, 25900
03/25/19, 16.20, 16.50, 15.80, 16.20, 3600
03/22/19, 17.40, 17.90, 16.50, 17.40, 25700
03/21/19, 17.40, 18.00, 16.30, 17.40, 6500
03/20/19, 16.45, 18.00, 16.20, 16.45, 5500
03/19/19, 18.00, 18.10, 18.00, 18.00, 1200
03/18/19, 18.00, 18.00, 18.00, 18.00, 100
03/15/19, 18.40, 18.45, 17.75, 18.40, 2500
03/14/19, 18.05, 18.45, 17.50, 18.05, 500
03/13/19, 18.50, 18.50, 18.50, 18.50, 100
03/11/19, 17.15, 18.15, 16.15, 17.15, 15600
03/08/19, 17.00, 17.05, 17.00, 17.00, 2000
03/07/19, 17.05, 17.50, 17.00, 17.05, 8600
03/06/19, 17.40, 17.40, 17.40, 17.40, 153800
03/05/19, 17.50, 17.55, 17.40, 17.50, 153800
03/04/19, 17.40, 17.50, 17.00, 17.40, 800
03/01/19, 17.55, 17.95, 17.20, 17.55, 300
02/28/19, 18.85, 19.00, 17.60, 18.85, 2700
02/27/19, 17.90, 19.00, 17.50, 17.90, 800
02/26/19, 19.25, 20.00, 18.50, 19.25, 200
02/25/19, 18.20, 19.00, 18.00, 18.20, 1400
02/22/19, 19.05, 20.50, 18.00, 19.05, 44600
02/21/19, 19.00, 20.00, 19.00, 19.00, 58100
02/20/19, 19.00, 20.80, 19.00, 19.00, 25200
02/19/19, 19.00, 19.00, 19.00, 19.00, 93500
02/18/19, 20.55, 20.90, 19.75, 20.55, 400
02/15/19, 20.65, 21.95, 20.50, 20.65, 2900
02/14/19, 20.10, 20.65, 19.00, 20.10, 16300
02/13/19, 20.50, 20.50, 20.50, 20.50, 200
02/12/19, 20.55, 20.95, 20.50, 20.55, 500
02/11/19, 20.65, 20.95, 19.05, 20.65, 3600
02/08/19, 19.05, 21.00, 19.00, 19.05, 9900
02/07/19, 20.95, 20.95, 20.95, 20.95, 400
02/06/19, 20.95, 21.00, 20.00, 20.95, 6700
02/05/19, 20.00, 21.00, 20.00, 20.00, 5500
02/04/19, 19.10, 19.10, 19.10, 19.10, 500
02/01/19, 20.00, 20.00, 20.00, 20.00, 700
01/31/19, 19.25, 19.65, 19.00, 19.25, 1400
01/30/19, 19.25, 20.00, 19.00, 19.25, 2200
01/29/19, 19.20, 20.00, 19.00, 19.20, 2300
01/28/19, 19.15, 19.50, 19.00, 19.15, 2500
01/25/19, 19.30, 20.00, 17.75, 19.30, 2300
01/24/19, 19.65, 20.00, 19.65, 19.65, 4100
01/23/19, 19.45, 19.60, 19.00, 19.45, 3300
01/22/19, 19.10, 19.60, 19.00, 19.10, 500
01/21/19, 19.10, 19.50, 19.05, 19.10, 1000
01/18/19, 19.50, 19.65, 19.50, 19.50, 4500
01/17/19, 19.50, 19.50, 19.45, 19.50, 13400
01/16/19, 19.00, 19.80, 19.00, 19.00, 503200
01/15/19, 19.65, 20.00, 19.15, 19.65, 400
01/14/19, 19.80, 20.00, 19.50, 19.80, 900
01/10/19, 19.05, 19.05, 19.05, 19.05, 100
01/09/19, 19.15, 20.30, 19.00, 19.15, 3600
01/07/19, 20.30, 20.75, 20.00, 20.30, 3500
01/04/19, 20.00, 20.75, 19.00, 20.00, 1200
01/03/19, 20.75, 21.00, 20.00, 20.75, 800
01/02/19, 19.80, 21.00, 19.00, 19.80, 1000
12/31/18, 19.90, 19.90, 19.90, 19.90, 1800
12/28/18, 19.85, 20.00, 19.80, 19.85, 300
12/27/18, 19.10, 20.00, 18.00, 19.10, 1300
12/24/18, 19.85, 19.90, 19.80, 19.85, 400
12/21/18, 19.90, 19.90, 19.90, 19.90, 100
12/20/18, 19.85, 19.90, 19.50, 19.85, 10700
12/19/18, 19.70, 19.90, 19.50, 19.70, 1200
12/18/18, 19.90, 19.90, 19.90, 19.90, 100
12/14/18, 19.50, 19.50, 19.50, 19.50, 2100
12/13/18, 19.90, 19.90, 19.90, 19.90, 1000
12/11/18, 19.90, 21.00, 19.50, 19.90, 1100
12/10/18, 19.95, 21.00, 19.10, 19.95, 180800
12/07/18, 19.20, 19.25, 19.00, 19.20, 11400
12/06/18, 19.10, 19.50, 19.00, 19.10, 700
12/05/18, 19.85, 20.00, 19.00, 19.85, 700
12/04/18, 19.00, 19.00, 19.00, 19.00, 3000
12/03/18, 19.00, 20.00, 19.00, 19.00, 7900
11/30/18, 19.00, 19.00, 19.00, 19.00, 700
11/29/18, 21.00, 21.00, 21.00, 21.00, 200
11/27/18, 20.10, 20.25, 20.00, 20.10, 5600
11/26/18, 20.25, 20.50, 20.00, 20.25, 1000
11/23/18, 20.25, 21.00, 20.00, 20.25, 700
11/22/18, 21.00, 21.00, 21.00, 21.00, 2900
11/21/18, 21.25, 22.00, 21.00, 21.25, 2100
11/20/18, 21.75, 22.00, 21.00, 21.75, 9200
11/16/18, 21.00, 21.00, 21.00, 21.00, 1200
11/15/18, 21.00, 22.00, 21.00, 21.00, 4900
11/14/18, 21.00, 21.00, 21.00, 21.00, 500
11/13/18, 22.00, 22.00, 22.00, 22.00, 400
11/12/18, 22.00, 22.00, 22.00, 22.00, 2100
11/08/18, 20.00, 20.25, 20.00, 20.00, 2300
11/07/18, 20.00, 20.50, 20.00, 20.00, 2000
11/06/18, 19.05, 20.00, 19.00, 19.05, 6600
11/05/18, 19.45, 20.00, 19.30, 19.45, 8200
11/02/18, 19.30, 20.00, 19.00, 19.30, 1500
11/01/18, 19.50, 20.00, 19.00, 19.50, 200
10/31/18, 19.00, 19.00, 19.00, 19.00, 10000
10/30/18, 19.35, 20.00, 18.50, 19.35, 1700
10/29/18, 20.00, 20.00, 20.00, 20.00, 3000
10/26/18, 20.00, 20.00, 20.00, 20.00, 1200
10/25/18, 19.55, 20.00, 19.50, 19.55, 1100
